station_id,total_rentals,avg_hourly_rentals,std_hourly_rentals,avg_weekday_rentals,avg_weekday_morning_rentals,avg_weekday_evening_rentals,avg_weekday_midday_rentals,avg_weekday_night_rentals,avg_weekend_rentals,avg_weekend_morning_rentals,avg_weekend_afternoon_rentals,max_hourly_rentals,peak_hour,weekday_weekend_ratio,morning_evening_ratio,cluster_label
31290,69797,4.598866706200171,4.412595641683397,3.984779600711603,2.187341772151899,5.262180161233789,4.221825485382727,2.4343853820598005,5.827040917177308,2.958283671036949,7.807610089781958,55,19,0.6837253988672319,0.45277456233071434,1
31291,46448,2.845729689988972,2.5620842929599563,2.946177781515432,1.9200355397601065,4.472305839855509,2.886996904024768,1.5584632516703787,2.5761679079214623,2.261904761904762,3.0713513513513515,35,17,1.1431842575952234,0.49292886010702297,4
31292,26548,2.5699903194578897,2.2844038645699722,2.417735186934809,1.5583203732503887,2.7544954128440367,2.4503311258278146,1.8793103448275863,2.956179390619651,2.067073170731707,3.3668122270742358,55,17,0.8175815084482223,0.6154754884646729,4
31293,29990,2.3424197453721782,1.812376341046408,2.1223884005023406,1.4967441860465116,2.5677009873060648,2.091022056539298,1.821976672805402,2.8189910979228485,2.0,3.2765486725663715,18,17,0.7526223760300702,0.6168027186975955,2
31294,18217,1.7729440389294404,1.2465751580105902,1.740206458443621,1.5701863354037267,2.074261992619926,1.6739352640545144,1.4365361803084222,1.8639205590290548,1.6735632183908047,1.9285106382978723,16,17,0.9331263200560326,0.7695901956708444,2
31295,50678,2.737279896294696,2.146678420364072,2.575750612745098,1.7006960556844548,3.431255337318531,2.686034862752955,1.8790154359616187,3.123671674606083,2.06198347107438,3.9711879432624113,26,17,0.8243268032535976,0.5232158837207646,4
31296,64228,2.725336275300208,2.04401932704571,2.717233587059943,3.056582633053221,3.5096544715447155,2.603675515129014,1.7693092021412185,2.7455191823433567,2.629780309194467,3.3831058020477816,21,17,0.9893371961602588,0.87922379974948,4
31297,33038,2.1338241942775946,1.55406207020939,2.071753364859949,1.90055910543131,2.6191280838120985,1.9162397540983607,1.7133210558624923,2.285937151771785,2.083715596330275,2.553627760252366,16,17,0.9059074331163303,0.766246176194993,2
31298,49348,2.5731567421003234,2.048403444533602,2.691063769950081,3.0062929061784898,3.404693760732685,2.4692836113837093,1.5378858746492048,2.234712411705348,2.3037578288100207,2.545131845841785,34,17,1.203671704759827,0.9055734146493659,2
31299,54944,2.654427750132857,1.9702483407772267,2.5570742269436364,2.8528602018966045,3.2,2.338304552590267,1.7296597633136095,2.897466216216216,2.5479582146248814,3.7081218274111674,21,17,0.8822163296703014,0.8969863195981637,4
31300,16024,1.5146989318461102,0.8917843285916747,1.4882399577167018,1.3833732057416268,1.720245937637242,1.4460300036589828,1.2200902934537246,1.5812022583859182,1.4710280373831777,1.7162162162162162,10,18,0.9406129651432353,0.8289759276826946,3
31301,9653,1.4362446064573724,0.8070495586757798,1.4425736620565244,1.2555831265508686,1.5965034965034965,1.4564220183486238,1.268760907504363,1.418013856812933,1.1623616236162362,1.5269607843137254,8,17,1.0166029423394822,0.7878843559369267,3
