station_id,station_name,latitude,longitude
31385,Old Meadow Rd & Old Meadow Ln,38.91898809004121,-77.21245960976546
31386,Prosperity Ave & Avenir Pl,38.88143586412813,-77.23037748489112
31387,Kingsbridge Dr & Draper Dr,38.86854470388028,-77.28208337922068
31389,Route 29 & Circle Woods Dr,38.86911419290566,-77.27153766943553
31390,Whitehaven Pkwy & Foxhall Rd NW / GWU Mt. Vernon,38.916501,-77.0909109
31391,44th St & New Mexico Ave NW,38.933899,-77.086263
31392,39th St & Tunlaw Rd NW,38.9257,-77.079119
31393,Wisconsin Ave & Upton St NW,38.94205904,-77.076263309
31394,New Mexico & Cathedral Ave NW,38.930316,-77.083704
31395,Massachusetts & Idaho Ave NW,38.931349,-77.077214
31396,Dorr Ave & Prosperity Ave,38.879256,-77.233583
31397,Mission Square Dr & Miranda Ct,38.869541168,-77.275214553
31398,Tyco Rd & Boyd Pointe Way,38.930767,-77.241436
31399,Old Meadow Rd & Cathy Ln,38.916908,-77.213879
31400,Georgia & New Hampshire Ave NW,38.9366839345886,-77.02418088912964
31401,14th St & Spring Rd NW,38.938024,-77.032688
31402,14th St Heights / 14th & Crittenden St NW,38.947774,-77.032818
31403,5th & Kennedy St NW,38.95655554772196,-77.0198142528534
31404,9th & Upshur St NW,38.9418,-77.0251
31405,Georgia Ave & Emerson St NW,38.949662,-77.027333
31406,14th & Upshur St NW,38.942475355602845,-77.03267812728882
31407,14th St & Colorado Ave NW,38.956432,-77.032947
31408,Takoma Metro,38.975219,-77.016855
31411,Georgia & Missouri Ave NW,38.961339,-77.027855
31412,3rd St & Riggs Rd NE,38.957463,-77.002239
31413,3rd & Underwood St NW,38.96893546152592,-77.01626300811768
31414,Georgia Ave & Piney Branch Rd NW,38.967505,-77.027976
31415,Georgia Ave & Kennedy St NW,38.95674,-77.02791
31416,14th & Luzon St NW,38.969489,-77.033509
31417,Kansas Ave & Sherman Cr NW,38.94796174822241,-77.02154964208603
31418,New Hampshire & Gallatin St NW,38.951596,-77.012808
31419,Georgia Ave & Morton St NW,38.932128,-77.0235
31420,17th & Upshur St NW,38.942146,-77.038684
31421,Grant Circle,38.942024743273045,-77.01822102069855
31422,Broadbranch & Northampton NW,38.96577499342219,-77.06862643361092
31423,Kansas Ave & Longfellow St NW,38.958098,-77.013821
31424,9th & Ingraham St NW,38.953875899,-77.025547981
31425,Georgia Ave & Dahlia St NW,38.976061,-77.026747
31426,10th St & Spring Rd NW,38.936228,-77.027163
31427,Kansas Ave & Tuckerman St NW / Lamond Rec ,38.967492,-77.007003
31428,Western Ave & Pinehurst Cir NW ,38.975739,-77.066409
31500,4th & W St NE,38.919077,-77.000648
31501,12th & Newton St NE,38.933668,-76.991016
31502,John McCormack Dr & Michigan Ave NE,38.9346,-76.9955
31503,Florida Ave & R St NW,38.9126,-77.0135
31504,10th & Monroe St NE,38.932456900063606,-76.99353396892548
31505,Eckington Pl & Q St NE,38.91066,-77.004615
31506,1st & Rhode Island Ave NW,38.915417,-77.012289
31507,1st & Washington Hospital Center NW,38.928743,-77.012457
